date,Power_kW,NN_pred
2019-01-09 01:00:00,95.523,96.35809267949341
2019-01-09 02:00:00,94.492,101.59344945794126
2019-01-09 03:00:00,95.661,101.77983733270199
2019-01-09 04:00:00,95.922,98.62149433771259
2019-01-09 05:00:00,93.947,95.70167112338963
2019-01-09 06:00:00,98.421,89.27241421925694
2019-01-09 07:00:00,93.798,138.53005742651877
2019-01-09 08:00:00,97.493,122.36241218725905
2019-01-09 09:00:00,90.08,117.40151577550162
2019-01-09 10:00:00,96.884,106.80236440698195
2019-01-09 11:00:00,100.372,117.95504381436064
2019-01-09 12:00:00,96.033,119.1705869325468
2019-01-09 13:00:00,99.333,120.00380153990851
2019-01-09 14:00:00,95.561,121.47418246563242
2019-01-09 15:00:00,98.777,96.62282004584499
2019-01-09 16:00:00,96.83,99.81844215403838
2019-01-09 17:00:00,97.428,100.28757120622
2019-01-09 18:00:00,100.579,101.6610440414687
2019-01-09 19:00:00,95.166,104.59230499197633
2019-01-09 20:00:00,98.467,92.7324252979244
2019-01-09 21:00:00,94.335,95.71971903428003
2019-01-09 22:00:00,94.365,93.67248391387967
2019-01-09 23:00:00,96.01,94.07507184173609
2019-01-10 00:00:00,117.733,93.18798012829787
2019-01-10 01:00:00,108.075,116.9142875434921
2019-01-10 02:00:00,112.416,111.1688297199842
2019-01-10 03:00:00,106.732,118.55960833941268
2019-01-10 04:00:00,111.404,110.1058856108728
2019-01-10 05:00:00,109.771,111.56192403126192
2019-01-10 06:00:00,128.371,105.68626296877017
2019-01-10 07:00:00,411.236,170.79243061725103
2019-01-10 08:00:00,362.104,347.01581354020624
2019-01-10 09:00:00,390.479,330.7135097452275
2019-01-10 10:00:00,453.085,354.29466205790095
2019-01-10 11:00:00,477.216,395.8542546503781
2019-01-10 12:00:00,488.286,417.7442571160877
2019-01-10 13:00:00,504.785,433.2241710124275
2019-01-10 15:00:00,515.127,434.9024832735439
2019-01-10 18:00:00,455.599,430.92338238723784
2019-01-10 19:00:00,233.274,367.4656635732563
2019-01-10 20:00:00,148.676,173.829945226506
2019-01-10 21:00:00,123.322,123.71917241230032
2019-01-10 22:00:00,109.196,110.59769849719203
2019-01-10 23:00:00,109.2,103.7733010787622
2019-01-11 00:00:00,107.932,102.7814129224334
2019-01-11 01:00:00,105.032,104.47261025761706
2019-01-11 02:00:00,105.237,104.7591498229998
2019-01-11 03:00:00,104.117,106.30830567221403
2019-01-11 04:00:00,107.839,100.6209858882457
2019-01-11 05:00:00,104.101,101.71209135438761
2019-01-11 06:00:00,230.904,105.24857862712231
2019-01-11 07:00:00,203.026,237.55006702926818
2019-01-11 08:00:00,190.582,227.148726846405
2019-01-11 09:00:00,173.741,220.83369410388923
2019-01-11 10:00:00,126.112,195.4072531104455
2019-01-11 11:00:00,130.169,125.96024677955808
2019-01-11 12:00:00,127.005,132.3854674073087
2019-01-11 13:00:00,128.443,131.6102076456315
2019-01-11 14:00:00,127.916,134.54921411324537
2019-01-11 15:00:00,131.264,115.78515906655373
2019-01-11 16:00:00,127.707,117.76873274498085
2019-01-11 17:00:00,132.147,116.88551591700974
2019-01-11 18:00:00,127.093,120.53757431206066
2019-01-11 19:00:00,116.256,118.84148756235105
2019-01-11 20:00:00,110.053,103.9492835472779
2019-01-11 21:00:00,105.455,101.63640595416986
2019-01-11 22:00:00,107.87,100.23240204851048
2019-01-11 23:00:00,103.211,102.73116279480713
2019-01-12 00:00:00,101.171,93.88566886593351
2019-01-12 01:00:00,100.991,94.75719348930032
