date,Power_kW,LR_pred
2019-01-11 13:00:00,128.443,155.9591415434682
2019-01-11 14:00:00,127.916,156.5571679424577
2019-01-11 15:00:00,131.264,132.05622008354618
2019-01-11 16:00:00,127.707,133.83472123495932
2019-01-11 17:00:00,132.147,129.52634678874438
2019-01-11 18:00:00,127.093,131.72845730015965
2019-01-11 19:00:00,116.256,126.42850762032919
2019-01-11 20:00:00,110.053,93.02122938705193
2019-01-11 21:00:00,105.455,87.00496890677357
2019-01-11 22:00:00,107.87,82.28682693693474
2019-01-11 23:00:00,103.211,82.85128998061964
2019-01-12 00:00:00,101.171,97.4394299765167
2019-01-12 01:00:00,100.991,94.20111102131386
2019-01-12 02:00:00,98.453,92.96194359459285
2019-01-12 03:00:00,98.938,89.84595166838079
2019-01-12 04:00:00,101.973,89.08777894750641
2019-01-12 05:00:00,97.535,90.4002479492234
2019-01-12 06:00:00,98.664,85.7320036583717
2019-01-12 07:00:00,104.107,132.8762377213638
2019-01-12 08:00:00,99.225,136.51747931455247
2019-01-12 09:00:00,97.973,131.89148525591156
2019-01-12 10:00:00,106.693,130.42596717781578
2019-01-12 11:00:00,100.643,137.1798677387784
2019-01-12 12:00:00,100.291,132.17197274828317
2019-01-12 13:00:00,104.048,131.88896627255636
2019-01-12 14:00:00,101.538,134.49941784306168
2019-01-12 15:00:00,100.185,108.55801964255848
2019-01-12 16:00:00,106.279,106.47714492432078
2019-01-12 17:00:00,98.598,109.92373488309366
2019-01-12 18:00:00,99.106,102.4630430967913
2019-01-12 19:00:00,100.145,101.3759565631305
2019-01-12 20:00:00,103.989,77.54583244490819
2019-01-12 21:00:00,97.191,79.46051575756549
2019-01-12 22:00:00,99.225,72.987620731634
2019-01-12 23:00:00,100.029,73.54027316765769
2019-01-13 00:00:00,99.828,92.9267518796917
2019-01-13 01:00:00,97.938,91.12267664150272
2019-01-13 02:00:00,101.342,88.04638162187527
2019-01-13 03:00:00,99.13,90.09408805933163
2019-01-13 04:00:00,97.773,86.77576111366287
2019-01-13 05:00:00,99.421,84.14168047429192
2019-01-13 06:00:00,100.629,84.44415884577629
2019-01-13 07:00:00,100.085,131.6695572864221
2019-01-13 08:00:00,101.76,130.51500423346232
2019-01-13 09:00:00,105.083,131.46738365322847
2019-01-13 10:00:00,105.156,133.41157508758172
2019-01-13 11:00:00,107.537,132.96095319902105
2019-01-13 12:00:00,107.885,134.3811391248529
2019-01-13 13:00:00,109.373,134.6435256539556
2019-01-13 14:00:00,105.773,135.7900733938519
2019-01-13 15:00:00,104.773,108.70567410250808
2019-01-13 16:00:00,104.497,107.20747936228116
2019-01-13 17:00:00,111.094,105.3256869431801
2019-01-13 18:00:00,105.559,109.10394190284403
2019-01-13 19:00:00,105.263,103.13979672532608
2019-01-13 20:00:00,104.619,78.22555095957364
2019-01-13 21:00:00,109.852,76.9707528474608
2019-01-13 22:00:00,103.032,80.08877408591707
2019-01-13 23:00:00,100.617,73.48990812266007
2019-01-14 00:00:00,104.343,113.86513954638893
2019-01-14 01:00:00,101.641,116.06893657827341
2019-01-14 02:00:00,102.776,111.85401715808491
2019-01-14 03:00:00,100.119,110.97537738870518
2019-01-14 04:00:00,104.317,107.22848874972914
2019-01-14 05:00:00,102.756,110.11415585760103
2019-01-14 06:00:00,110.289,106.35320995601914
2019-01-14 07:00:00,159.908,158.67707064148155
2019-01-14 08:00:00,206.337,198.66440133823087
2019-01-14 09:00:00,234.132,236.20097850039707
2019-01-14 10:00:00,263.856,258.15974546359183
2019-01-14 11:00:00,325.615,281.1274339190408
2019-01-14 12:00:00,280.451,329.6537925589953
2019-01-14 13:00:00,295.991,293.5756671500146
2019-01-14 14:00:00,304.125,305.3711590313213
2019-01-14 15:00:00,308.112,287.7037452271305
2019-01-14 16:00:00,294.829,288.7693576039311
2019-01-14 17:00:00,269.25,276.2644906512631
2019-01-14 18:00:00,226.608,254.25991113336744
2019-01-14 19:00:00,174.723,219.106962040684
2019-01-14 20:00:00,155.469,153.29484274394227
2019-01-14 21:00:00,126.818,136.93405422970773
2019-01-14 22:00:00,112.899,113.13368849065216
2019-01-14 23:00:00,111.876,101.02236180766178
2019-01-15 00:00:00,105.547,118.97740745147685
2019-01-15 01:00:00,103.665,112.91554884645905
2019-01-15 02:00:00,106.325,110.32735322786557
2019-01-15 03:00:00,103.032,111.42378348308065
2019-01-15 04:00:00,103.305,107.86178373651519
2019-01-15 05:00:00,108.016,107.08958052653833
2019-01-15 06:00:00,110.193,109.78335332852876
2019-01-15 07:00:00,152.996,157.67753150447288
2019-01-15 08:00:00,207.307,190.2522011698199
2019-01-15 09:00:00,233.902,232.57030284031453
2019-01-15 10:00:00,272.68,253.65881950625698
2019-01-15 11:00:00,350.217,283.1302888261673
2019-01-15 12:00:00,292.871,344.70023088373904
2019-01-15 13:00:00,317.3,298.04157499902976
2019-01-15 14:00:00,305.501,316.56557661928355
2019-01-15 15:00:00,310.32,282.6693858618014
2019-01-15 16:00:00,284.119,285.39504407669733
2019-01-15 17:00:00,277.714,263.605166189281
2019-01-15 18:00:00,236.498,257.51241995200843
2019-01-15 19:00:00,180.431,223.8341211491611
2019-01-15 20:00:00,156.235,154.81042491921386
2019-01-15 21:00:00,126.025,134.78244054047926
2019-01-15 22:00:00,108.66,109.87712504700376
2019-01-15 23:00:00,107.575,94.95925491420986
2019-01-16 00:00:00,102.212,112.92108885268493
2019-01-16 01:00:00,102.703,107.9991955570262
2019-01-16 02:00:00,105.681,107.23254379992238
2019-01-16 03:00:00,103.274,108.21443515576615
2019-01-16 04:00:00,104.021,104.54120972835206
2019-01-16 05:00:00,98.444,103.6468725215751
2019-01-16 06:00:00,110.159,98.27960154223108
2019-01-16 07:00:00,157.657,153.5567721695047
2019-01-16 08:00:00,194.484,190.3930653032973
2019-01-16 09:00:00,240.381,218.85534246602606
2019-01-16 10:00:00,272.324,254.42492844363665
2019-01-16 11:00:00,341.5,279.07050720857757
2019-01-16 12:00:00,300.783,333.44221418914833
2019-01-16 13:00:00,325.672,300.68381046383126
2019-01-16 14:00:00,295.274,319.385233287641
2019-01-16 15:00:00,306.245,271.02857806613986
2019-01-16 16:00:00,291.019,278.75977092372773
2019-01-16 17:00:00,276.015,265.693387779295
2019-01-16 18:00:00,232.051,252.7536742443211
2019-01-16 19:00:00,186.078,216.58449660887808
2019-01-16 20:00:00,159.965,155.620917262734
2019-01-16 21:00:00,123.84,133.33264341959466
2019-01-16 22:00:00,114.594,103.53764803406348
2019-01-16 23:00:00,112.045,94.99715327494152
2019-01-17 00:00:00,112.712,112.07884398871553
2019-01-17 01:00:00,108.276,111.82989479157098
2019-01-17 02:00:00,107.548,107.25510207319917
2019-01-17 03:00:00,110.592,105.5211866177212
2019-01-17 04:00:00,107.207,106.90424810466364
2019-01-17 05:00:00,106.034,103.1702104293985
2019-01-17 06:00:00,115.357,100.91581149551149
2019-01-17 07:00:00,157.098,155.02198154624196
2019-01-17 08:00:00,202.047,187.65255198645397
